customer_id,full_name,total_spent,transaction_count,days_since_registration,avg_order_value
CUST0901,Devon Bowen,23570.4,15,853,1571.36
CUST0966,Steven Roman,23427.43,10,184,2342.74
CUST0990,Christopher Carter,23315.0,15,574,1554.33
CUST0218,Andrew Mercado,23249.86,13,385,1788.45
CUST0303,Colleen Garcia,23223.14,16,267,1451.45
CUST0700,Timothy Murray,23209.29,13,698,1785.33
CUST0399,Natalie Ramsey,23207.65,14,880,1657.69
CUST0457,Judy Shaffer,23147.44,13,120,1780.57
CUST0896,James Cunningham,23104.3,14,920,1650.31
CUST0701,Heather Wilson,23096.13,13,811,1776.63
CUST0516,Briana Benson,23094.4,13,943,1776.49
CUST0395,Denise Brown,22974.45,16,824,1435.9
CUST0918,Melissa Nelson,22939.41,13,813,1764.57
CUST0050,Brandon Olson,22904.73,16,841,1431.55
CUST0121,Joshua Wall,22832.49,12,1059,1902.71
CUST0438,Alisha Roach,22685.11,14,270,1620.37
CUST0636,Kevin Soto,22673.14,15,755,1511.54
CUST0762,Samantha Kemp,22664.09,13,1085,1743.39
CUST0875,Frank Jones,22663.14,16,440,1416.45
CUST0592,Debra Harrell,22660.98,14,757,1618.64
CUST0390,Susan Sims,22524.42,14,276,1608.89
CUST0941,Jennifer Cummings,22503.91,14,387,1607.42
CUST0877,Robert Le,22427.46,11,710,2038.86
CUST0275,Drew Howard,22412.94,13,1031,1724.07
CUST0185,Henry Phillips,22364.63,14,751,1597.47
CUST0862,Kelly Martinez,22351.22,14,560,1596.52
CUST0897,Jeffrey Cruz,22348.49,17,601,1314.62
CUST0648,Tiffany Warren,22312.91,15,282,1487.53
CUST0491,Nancy Hinton,22224.02,11,351,2020.37
CUST0996,Erin Watkins,22153.66,12,922,1846.14
CUST0561,Brenda Middleton,22091.51,9,1014,2454.61
CUST0070,Melissa Duran,21896.3,15,1052,1459.75
CUST0690,Frank Fuller,21889.03,17,80,1287.59
CUST0960,Laura Kim,21822.71,12,439,1818.56
CUST0975,Paul Wyatt,21819.39,11,1059,1983.58
CUST0585,David Jones,21779.35,12,458,1814.95
CUST0525,Charles Hebert,21693.73,11,334,1972.16
CUST0920,Tristan Hernandez,21685.43,12,721,1807.12
CUST0626,James Mendoza,21617.69,13,708,1662.9
CUST0145,Michelle Nelson,21615.66,13,603,1662.74
CUST0375,Kyle Valdez,21615.37,16,952,1350.96
CUST0129,Angelica Osborne,21552.11,14,183,1539.44
CUST0445,Manuel Soto,21510.61,13,615,1654.66
CUST0157,Lynn Bishop,21495.11,17,936,1264.42
CUST0752,Catherine Henson,21460.59,15,927,1430.71
CUST0212,Melanie Ramos,21450.32,14,258,1532.17
CUST0635,Rachel Riddle,21443.63,18,1087,1191.31
CUST0545,William Garcia,21370.03,17,122,1257.06
CUST0460,Frank Campbell,21331.93,13,955,1640.92
CUST0116,Sarah Burton,21330.2,14,554,1523.59
CUST0280,Steven Gates,21153.68,16,585,1322.11
CUST0675,Barry Lewis,21110.28,14,7,1507.88
CUST0938,Randall Harding,21103.06,12,755,1758.59
CUST0665,Chris Mckenzie,21040.01,13,696,1618.46
CUST0788,Kimberly Spears,21020.94,13,540,1617.0
CUST0054,Melinda Williams,20994.6,9,163,2332.73
CUST0004,Brenda Gordon,20978.19,12,163,1748.18
CUST0067,Jamie Johnson,20951.88,12,635,1745.99
CUST0007,Jose Sanchez,20849.88,14,431,1489.28
CUST0729,Steven Rose,20824.46,13,427,1601.88
CUST0253,Rebecca Hernandez,20790.88,15,300,1386.06
CUST0079,Nicole Wiley,20747.92,11,91,1886.17
CUST0827,John Jones,20740.13,12,973,1728.34
CUST0472,Carrie Kelley,20732.74,14,496,1480.91
CUST0922,Robert Jones,20725.98,13,321,1594.31
CUST0299,Brian Kline,20708.32,16,229,1294.27
CUST0825,Michelle Proctor,20658.41,11,406,1878.04
CUST0997,Stephanie Hernandez,20619.7,11,222,1874.52
CUST0839,Brian Black,20575.19,12,158,1714.6
CUST0819,Trevor Garza,20563.06,14,571,1468.79
CUST0433,Willie Chavez,20499.1,12,863,1708.26
CUST0257,Teresa Adams,20479.26,16,977,1279.95
CUST0100,Jennifer Hicks,20435.09,15,758,1362.34
CUST0080,Krystal Booth,20423.48,11,624,1856.68
CUST0057,Brandi Compton,20358.25,14,817,1454.16
CUST0242,Mark Morgan,20331.06,14,858,1452.22
CUST0279,Brian Carroll,20287.62,14,720,1449.12
CUST0738,Kenneth Parks,20281.33,13,547,1560.1
CUST0746,Lisa Neal,20224.82,12,543,1685.4
CUST0476,Marie Holmes,20203.74,13,957,1554.13
CUST0481,Steven Mills,20171.19,13,19,1551.63
CUST0971,Matthew Ellis,20161.18,13,465,1550.86
CUST0522,Diane Mullins,20160.15,11,628,1832.74
CUST0689,Colleen Wright,20132.11,13,291,1548.62
CUST0961,Timothy Salas,20131.28,15,417,1342.09
CUST0370,Nichole Gonzales,20112.95,9,1003,2234.77
CUST0595,Larry Burns,20090.74,14,1094,1435.05
CUST0488,Elizabeth Thompson,20033.11,13,41,1541.01
CUST0553,Mark Villa,19925.95,11,651,1811.45
CUST0684,Carl Williams,19897.07,12,1063,1658.09
CUST0787,Destiny Lawson,19860.63,10,710,1986.06
CUST0132,Ashley Sanders,19805.58,12,814,1650.47
CUST0062,Emily Baker,19799.83,13,1026,1523.06
CUST0869,David Farley,19792.94,12,1070,1649.41
CUST0718,Ruth Higgins,19736.65,11,893,1794.24
CUST0354,Amy Hancock,19674.84,13,340,1513.45
CUST0749,Ryan Wilkinson,19674.45,15,619,1311.63
CUST0775,Mario Graves,19663.18,12,307,1638.6
CUST0570,Brianna Roman,19659.82,12,960,1638.32
CUST0052,Adam Johnson,19611.63,16,742,1225.73
CUST0747,John Elliott,19602.71,12,869,1633.56
CUST0571,Michael Williams,19600.05,12,654,1633.34
CUST0874,Brad Swanson,19594.14,10,183,1959.41
CUST0484,Lisa Patrick,19555.67,14,528,1396.83
CUST0959,Gregory Vargas,19529.48,11,1061,1775.41
CUST0899,Joseph Camacho,19497.61,13,474,1499.82
CUST0274,Ryan Kirk,19496.28,15,545,1299.75
CUST0254,Robert Jones,19492.23,13,1023,1499.4
CUST0245,Alexander Gregory,19474.88,11,367,1770.44
CUST0981,Tracy Jones,19445.88,12,967,1620.49
CUST0252,Natalie Leonard,19434.22,13,444,1494.94
CUST0956,Valerie Parks,19417.57,11,875,1765.23
CUST0063,Jessica Martin,19342.03,13,610,1487.85
CUST0396,Samantha Daniels,19333.07,13,906,1487.16
CUST0134,Matthew Simmons,19324.33,14,927,1380.31
CUST0614,Jessica Lopez,19305.9,14,791,1378.99
CUST0936,Angela Washington,19251.9,12,117,1604.33
CUST0148,Brian Vincent,19194.4,14,435,1371.03
CUST0127,Julie Schmidt,19191.18,11,538,1744.65
CUST0673,William Jones,19157.98,13,353,1473.69
CUST0731,Tammy Oneal,19156.81,10,697,1915.68
CUST0722,Richard Reid,19090.54,11,509,1735.5
CUST0540,Brian Chen,19028.23,14,447,1359.16
CUST0732,Justin Munoz,19027.47,13,598,1463.65
CUST0269,Matthew Fisher,19000.19,12,640,1583.35
CUST0576,Sarah Mack,18988.73,14,390,1356.34
CUST0169,Joan Terry,18965.77,10,123,1896.58
CUST0943,Maria Montoya,18936.53,10,731,1893.65
CUST0350,Valerie Wright,18914.82,12,626,1576.24
CUST0879,Brian Lara,18912.68,13,251,1454.82
CUST0219,Michael Cox,18897.52,11,777,1717.96
CUST0456,Andrew Stevens,18893.6,13,350,1453.35
CUST0717,Christine Green,18874.13,8,752,2359.27
CUST0878,Michael Hernandez,18855.53,14,524,1346.82
CUST0201,Paige Pacheco,18849.98,12,571,1570.83
CUST0950,Heather Richards,18841.05,10,895,1884.11
CUST0870,Elizabeth Gomez,18834.37,13,144,1448.8
CUST0782,Alexander Allen,18828.74,14,531,1344.91
CUST0151,Cole Jenkins,18794.99,15,39,1253.0
CUST0885,Alison Tran,18791.65,12,899,1565.97
CUST0200,Tonya Miller,18720.26,11,779,1701.84
CUST0431,Kyle Anderson,18710.23,16,298,1169.39
CUST0077,Lisa Bradley,18707.2,14,166,1336.23
CUST0978,Cynthia Sutton,18706.33,12,698,1558.86
CUST0444,Timothy Wilson,18695.9,12,287,1557.99
CUST0485,Shannon Christensen,18678.68,14,103,1334.19
CUST0123,Richard Arnold,18630.38,12,49,1552.53
CUST0658,Christopher Webb,18607.81,13,665,1431.37
CUST0535,Christine Valencia,18604.63,15,487,1240.31
CUST0836,Christopher Brown,18597.3,10,671,1859.73
CUST0114,Michelle Miller,18518.95,13,266,1424.53
CUST0180,Denise Williams,18514.91,12,52,1542.91
CUST0926,Lisa Frederick,18511.01,14,1097,1322.22
CUST0237,Michael Santana,18486.38,12,94,1540.53
CUST0015,Karen Rivers,18459.26,15,581,1230.62
CUST0558,David Brown,18429.52,15,867,1228.63
CUST0987,Katrina Smith,18425.56,10,513,1842.56
CUST0224,Shannon Ingram,18409.42,12,223,1534.12
CUST0282,Tina Black,18391.23,13,660,1414.71
CUST0147,Brianna Sanchez,18366.23,12,898,1530.52
CUST0608,Daniel Weaver,18359.05,9,186,2039.89
CUST0084,Martin Brooks,18346.21,14,343,1310.44
CUST0513,Debbie Chambers,18326.28,10,1020,1832.63
CUST0437,Sarah Carpenter,18276.35,10,114,1827.64
CUST0947,Michael Webster,18257.38,13,1061,1404.41
CUST0158,Deborah Potter,18251.71,11,320,1659.25
CUST0498,Regina Lewis,18230.69,12,973,1519.22
CUST0434,Elizabeth Rodgers,18228.29,12,352,1519.02
CUST0569,Bailey Day,18226.6,11,702,1656.96
CUST0993,Sarah Shah,18220.27,14,101,1301.45
CUST0419,Angela Villegas,18215.83,13,1037,1401.22
CUST0216,Jennifer Gonzalez,18198.9,13,628,1399.92
CUST0767,Kimberly Reilly,18198.64,12,856,1516.55
CUST0887,Julie Watkins,18192.3,13,373,1399.41
CUST0964,Jason Hanna,18189.0,12,645,1515.75
CUST0531,Kristin Lopez,18157.58,12,151,1513.13
CUST0109,Louis Gillespie,18142.91,11,1042,1649.36
CUST0427,Cory Carlson,18118.9,10,747,1811.89
CUST0373,Cassandra Gomez,18104.55,12,471,1508.71
CUST0771,Barbara Barnes,18082.08,15,134,1205.47
CUST0449,Sean Thompson,18079.67,11,20,1643.61
CUST0343,Amy Ross,18033.8,14,857,1288.13
CUST0265,David White,18033.19,12,820,1502.77
CUST0822,Selena Johnson,18026.77,10,363,1802.68
CUST0883,Courtney Herring,18019.66,11,789,1638.15
CUST0468,Peter Beck,18005.44,10,411,1800.54
CUST0244,Keith Bowman,17988.08,12,929,1499.01
CUST0639,Brandon Douglas,17923.53,11,920,1629.41
CUST0719,Bryan Smith,17891.59,11,847,1626.51
CUST0713,Briana Herrera,17890.74,15,490,1192.72
CUST0273,Nicholas Johnson,17831.19,15,43,1188.75
CUST0986,Stephen Bartlett,17830.97,10,908,1783.1
CUST0086,Alison Glover,17817.13,14,102,1272.65
CUST0028,Sandra James,17805.42,10,508,1780.54
CUST0251,Todd Flores,17789.61,9,731,1976.62
CUST0640,Jason Riley,17770.06,9,304,1974.45
CUST0799,Deborah Reynolds,17768.67,10,274,1776.87
CUST0347,Jonathan Jones,17767.81,12,439,1480.65
CUST0171,Thomas Ramirez,17704.18,9,906,1967.13
CUST0891,Margaret Griffin,17648.94,12,651,1470.75
CUST0860,Donald Cooper,17644.54,12,175,1470.38
CUST0757,Kelsey White,17605.37,11,104,1600.49
CUST0593,Jason Jones,17597.69,11,21,1599.79
CUST0590,Amanda Kaufman,17590.78,11,1027,1599.16
CUST0709,Samantha Davis,17578.33,13,192,1352.18
CUST0830,Marisa Payne,17507.74,12,790,1458.98
CUST0168,Anita Anderson,17507.38,8,163,2188.42
CUST0777,Megan Gaines,17506.24,10,767,1750.62
CUST0499,Jessica Lewis,17490.36,14,843,1249.31
CUST0534,Richard Newman,17481.45,11,268,1589.22
CUST0552,Brenda Powers,17481.37,13,193,1344.72
CUST0539,Joshua Griffin,17474.33,11,1048,1588.58
CUST0984,Timothy Aguilar,17463.47,13,19,1343.34
CUST0335,Kimberly Myers,17450.68,12,113,1454.22
CUST0649,Francisco Rivas,17447.81,11,975,1586.16
CUST0880,Jill Guerrero,17441.01,11,886,1585.55
CUST0669,Sheila Rose,17403.15,10,746,1740.32
CUST0871,Ashley Blackwell,17396.61,11,417,1581.51
CUST0755,Makayla Riley,17369.78,12,884,1447.48
CUST0510,Jenna Wilkerson,17336.62,9,991,1926.29
CUST0615,Daniel Davis,17320.67,10,494,1732.07
CUST0394,Derek Gray,17285.05,10,1093,1728.51
CUST0440,Linda Mccoy,17282.07,12,240,1440.17
CUST0238,Christopher Cruz,17281.78,9,12,1920.2
CUST0088,Mary Tanner,17255.58,11,893,1568.69
CUST0293,Thomas Davis,17225.75,11,336,1565.98
CUST0917,Nicole Jimenez,17223.33,14,124,1230.24
CUST0912,Joshua Wright,17209.64,11,1021,1564.51
CUST0048,Karen Smith,17179.08,13,931,1321.47
CUST0478,Edward Baker,17136.56,15,293,1142.44
CUST0778,Richard Sanchez,17124.47,10,367,1712.45
CUST0495,Tyler Terry,17094.31,13,1063,1314.95
CUST0009,Randy Spencer,17085.49,13,306,1314.27
CUST0784,Robert Brown,17084.49,9,194,1898.28
CUST0250,Adam Harrington,17063.32,11,432,1551.21
CUST0024,Michael Lopez,17053.65,10,639,1705.37
CUST0392,John Patterson,17044.25,10,573,1704.43
CUST0985,Ryan Villanueva,17019.4,11,68,1547.22
CUST0536,Caleb Wheeler,16988.82,9,39,1887.65
CUST0890,Becky Prince,16966.11,9,163,1885.12
CUST0195,Steven Ramirez,16953.24,12,379,1412.77
CUST0442,Aaron Day,16945.15,10,168,1694.52
CUST0058,David Nielsen,16931.67,11,824,1539.24
CUST0156,Brandon Archer,16929.29,10,90,1692.93
CUST0453,Scott Adams,16909.57,13,1042,1300.74
CUST0314,Jacqueline Smith,16873.05,11,214,1533.91
CUST0131,David Spears,16866.6,12,98,1405.55
CUST0261,Howard Perez,16862.28,9,759,1873.59
CUST0927,Barry Jenkins,16848.37,13,12,1296.03
CUST0018,Brandon Parker,16844.44,12,899,1403.7
CUST0337,Mark Ramirez,16837.95,12,43,1403.16
CUST0292,Christopher Wells,16821.48,10,58,1682.15
CUST0745,Lawrence Turner,16763.13,9,613,1862.57
CUST0668,Randy Benson,16745.67,12,280,1395.47
CUST0076,Daniel Stafford,16701.83,10,593,1670.18
CUST0591,Matthew Bradshaw,16692.47,11,278,1517.5
CUST0686,Brooke Copeland,16690.54,10,827,1669.05
CUST0043,Morgan Mccoy,16669.8,10,945,1666.98
CUST0046,George Greene,16663.76,10,272,1666.38
CUST0557,Erin West,16663.14,11,1012,1514.83
CUST0582,Mindy Martinez,16658.96,13,171,1281.46
CUST0588,Monica Best,16617.86,8,712,2077.23
CUST0411,Jerry Knox,16599.06,12,701,1383.26
CUST0768,Keith Andrews,16585.66,13,873,1275.82
CUST0072,Kimberly Lopez,16544.7,9,146,1838.3
CUST0814,Karen Daniels,16541.35,9,243,1837.93
CUST1000,Cassandra Ortiz,16525.29,11,617,1502.3
CUST0177,Anna Gray,16516.54,8,492,2064.57
CUST0341,Gabrielle Peterson,16477.98,12,1052,1373.17
CUST0904,Katie Dominguez,16475.08,9,141,1830.56
CUST0426,Cathy Roberts,16429.3,12,868,1369.11
CUST0526,John Little,16410.94,11,1026,1491.9
CUST0316,Jason Hensley,16356.46,15,25,1090.43
CUST0017,Victoria Gray,16349.89,11,886,1486.35
CUST0393,Aaron Macias,16202.4,10,221,1620.24
CUST0919,Yolanda King,16193.73,11,217,1472.16
CUST0467,William Edwards,16191.75,10,89,1619.18
CUST0692,Jessica Thompson,16181.49,8,185,2022.69
CUST0609,Lucas Patterson,16178.26,9,653,1797.58
CUST0578,Courtney Ruiz,16167.0,9,922,1796.33
CUST0508,Laura Hill,16159.45,11,1099,1469.04
CUST0405,John Osborn,16153.99,11,1031,1468.54
CUST0255,Kristy Ball,16132.41,10,1055,1613.24
CUST0447,Gloria Phillips,16123.03,12,93,1343.59
CUST0357,Lisa Huber,16121.65,12,894,1343.47
CUST0029,Dylan Snow,16105.25,10,1067,1610.53
CUST0662,Cassandra Berry,16082.48,10,301,1608.25
CUST0619,Teresa Ritter,16068.41,10,411,1606.84
CUST0183,Penny Huynh,16066.72,10,1080,1606.67
CUST0925,Nicole Sims,16013.5,15,479,1067.57
CUST0115,Kevin Armstrong,16005.93,12,966,1333.83
CUST0977,John Morgan,15993.38,10,829,1599.34
CUST0259,Connie Jenkins,15991.83,12,88,1332.65
CUST0514,Robert Sanders,15984.32,9,71,1776.04
CUST0859,Nathaniel Vasquez,15943.71,15,934,1062.91
CUST0660,Denise Murillo,15941.66,10,525,1594.17
CUST0231,Cassandra Smith,15922.05,13,350,1224.77
CUST0317,Haley Lester,15865.18,9,584,1762.8
CUST0811,Luis Long,15863.39,11,507,1442.13
CUST0617,Laurie Hanson,15852.03,13,1047,1219.39
CUST0826,Kristen White,15834.56,9,61,1759.4
CUST0765,Heather Coleman,15833.17,8,406,1979.15
CUST0886,Kathleen Austin,15829.89,12,134,1319.16
CUST0678,Carolyn Davenport,15820.81,9,49,1757.87
CUST0773,Martin Palmer,15818.3,11,701,1438.03
CUST0633,Shelby Alvarado,15812.82,10,411,1581.28
CUST0439,Michael Fleming,15810.18,10,76,1581.02
CUST0039,Christine Waters,15801.37,11,548,1436.49
CUST0124,Kevin Parker,15789.82,8,881,1973.73
CUST0332,Donald George,15772.97,12,843,1314.41
CUST0359,Andrew Francis,15760.16,10,125,1576.02
CUST0708,Gregory Davis,15727.22,14,543,1123.37
CUST0385,Blake Weber,15723.79,10,413,1572.38
CUST0650,Kevin Potter,15719.62,9,928,1746.62
CUST0093,Brittany Simpson,15704.98,14,45,1121.78
CUST0363,Steven Herrera,15652.87,12,278,1304.41
CUST0914,Craig Stewart,15645.7,10,115,1564.57
CUST0562,Adrienne Clark,15632.47,9,220,1736.94
CUST0854,Ronald Barnes,15601.19,12,573,1300.1
CUST0270,John Moore,15596.49,9,617,1732.94
CUST0916,Karen Hughes,15595.39,11,102,1417.76
CUST0624,Amanda Greene,15569.69,12,701,1297.47
CUST0951,Shirley Nichols,15551.78,12,403,1295.98
CUST0894,Tammy Green,15522.44,13,988,1194.03
CUST0066,Brittany Holt,15493.64,8,1006,1936.71
CUST0817,Joseph Pena,15486.15,9,909,1720.68
CUST0344,Elizabeth Martinez,15464.45,11,985,1405.86
CUST0360,Michael Shea,15461.71,11,235,1405.61
CUST0568,Christopher Vang,15458.71,9,959,1717.63
CUST0857,Cheyenne Lynn,15458.57,14,323,1104.18
CUST0014,Candace Watkins,15455.43,7,399,2207.92
CUST0197,Matthew Shields,15418.75,10,778,1541.88
CUST0034,Michelle Parker,15376.67,10,1085,1537.67
CUST0970,Erika Weaver,15372.95,9,944,1708.11
CUST0666,Angela Campbell,15372.6,13,1096,1182.51
CUST0958,Priscilla Jones,15369.64,9,23,1707.74
CUST0602,Malik Buchanan,15344.47,9,797,1704.94
CUST0908,Christopher Patton,15307.95,9,17,1700.88
CUST0041,Anne Robinson,15297.69,10,369,1529.77
CUST0974,Rachel Weeks,15282.35,10,474,1528.24
CUST0991,Joshua Nichols,15264.57,15,84,1017.64
CUST0744,Austin Glenn,15260.78,13,713,1173.91
CUST0815,Amanda Clarke,15229.34,10,722,1522.93
CUST0730,Tammy Hendricks,15224.51,12,154,1268.71
CUST0654,Richard Little,15214.63,13,525,1170.36
CUST0090,Monica Herman,15193.01,8,1099,1899.13
CUST0688,Chloe Levy,15186.46,11,90,1380.59
CUST0353,Bianca Aguilar,15169.51,9,1101,1685.5
CUST0002,John Dunn,15161.92,13,273,1166.3
CUST0369,Rachel Monroe,15159.96,12,330,1263.33
CUST0852,Michael Collins,15157.87,11,609,1377.99
CUST0664,Jacqueline Lyons,15155.53,10,918,1515.55
CUST0111,Edward Johnson,15146.4,10,427,1514.64
CUST0256,April Harper,15145.42,9,58,1682.82
CUST0309,Mario Harrison,15138.82,11,670,1376.26
CUST0670,Zachary Olson,15122.37,10,857,1512.24
CUST0113,John Franklin,15058.35,15,83,1003.89
CUST0281,Timothy Johnson,15019.49,10,675,1501.95
CUST0835,Brandy White,15017.01,12,847,1251.42
CUST0199,John Powell,15009.78,12,75,1250.82
CUST0178,Michelle White,15003.39,9,284,1667.04
CUST0625,Lori Jones,14985.07,12,180,1248.76
CUST0003,Tracey Walters,14965.55,10,854,1496.56
CUST0517,Megan Smith,14956.14,10,824,1495.61
CUST0025,Bradley Allen,14953.72,9,947,1661.52
CUST0774,Melody Diaz,14897.08,11,941,1354.28
CUST0194,Erica Reyes,14893.82,11,519,1353.98
CUST0176,Ashley Johnson,14867.97,12,271,1239.0
CUST0620,Alyssa Moore,14842.96,11,155,1349.36
CUST0206,David French,14828.05,10,431,1482.81
CUST0327,Vanessa Cannon,14805.03,10,919,1480.5
CUST0075,Timothy Watkins,14801.9,13,841,1138.61
CUST0946,James Grant,14779.66,9,789,1642.18
CUST0187,Rebecca Salinas,14772.99,13,1095,1136.38
CUST0575,Victoria Roberts,14739.85,8,1008,1842.48
CUST0789,Katrina Wood,14739.58,10,523,1473.96
CUST0099,Sheryl Black,14732.78,9,118,1636.98
CUST0298,Karen Lynch,14722.78,12,496,1226.9
CUST0512,Kevin Solis,14711.13,13,1074,1131.63
CUST0604,Marvin Mora,14707.9,11,181,1337.08
CUST0868,Lisa King,14704.08,9,361,1633.79
CUST0094,Renee King,14693.38,8,285,1836.67
CUST0422,Theresa Davis,14680.17,14,861,1048.58
CUST0223,Justin Stewart,14672.93,11,724,1333.9
CUST0873,Shannon Perez,14640.95,9,557,1626.77
CUST0693,Karen Hayes,14615.62,12,487,1217.97
CUST0085,Timothy Brandt,14613.05,10,587,1461.31
CUST0566,Amber Kent,14611.8,11,217,1328.35
CUST0948,Jason Stuart,14585.78,9,341,1620.64
CUST0758,Beth Long,14558.84,9,950,1617.65
CUST0087,Donna Weber,14550.2,11,758,1322.75
CUST0505,Brittany Young,14545.25,11,1046,1322.3
CUST0802,Jennifer Green,14538.78,10,1078,1453.88
CUST0913,Kathleen Gonzalez,14529.97,10,986,1453.0
CUST0711,Jessica Sullivan,14505.77,10,830,1450.58
CUST0325,Jesse Williams,14500.07,12,465,1208.34
CUST0939,Holly Hill,14493.7,10,449,1449.37
CUST0973,Kayla Thomas,14489.89,12,889,1207.49
CUST0118,Kimberly Bird,14469.39,8,296,1808.67
CUST0712,Susan Christensen,14456.48,11,809,1314.23
CUST0436,Anthony Garcia,14445.51,12,307,1203.79
CUST0556,Holly Alvarez,14441.73,10,99,1444.17
CUST0893,Kathy Burns,14432.45,9,486,1603.61
CUST0804,Chelsea Mccarty,14432.17,12,942,1202.68
CUST0524,Danielle Harris,14396.02,12,907,1199.67
CUST0001,Annette Smith,14380.96,10,18,1438.1
CUST0319,Debbie Davis,14372.56,11,877,1306.6
CUST0264,Stephanie White,14354.59,13,755,1104.2
CUST0182,Philip Wise,14346.81,11,703,1304.26
CUST0515,Benjamin Atkinson,14339.52,9,516,1593.28
CUST0037,Matthew Tucker,14338.82,10,353,1433.88
CUST0734,Jacqueline Palmer,14319.07,9,111,1591.01
CUST0398,Rebecca Torres,14309.87,9,425,1589.99
CUST0849,Jeremy Clark,14287.44,9,222,1587.49
CUST0482,Margaret Jarvis,14282.13,13,198,1098.63
CUST0837,Laura Lyons,14278.65,12,932,1189.89
CUST0527,Joseph Jacobs,14267.81,11,882,1297.07
CUST0388,Charles Reynolds,14257.15,9,1100,1584.13
CUST0657,Laura Baxter,14243.84,9,722,1582.65
CUST0903,Jenny Torres,14238.13,9,38,1582.01
CUST0042,Nicole Mcbride,14200.73,9,930,1577.86
CUST0055,Rebecca Arnold,14180.83,11,730,1289.17
CUST0295,Jessica Guzman,14153.16,10,1007,1415.32
